Document ID,Clause ID,Clause Text,Clause Type,Risk Level,Sentiment Label,Sentiment Score
DOC029,CL0211,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,High,Neutral,-0.9
DOC004,CL0393,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,0.47
DOC039,CL0352,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,-0.35
DOC038,CL0173,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,-0.11
DOC015,CL0892,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,0.51
DOC010,CL0545,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,-0.44
DOC031,CL0035,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Collaborative,-0.92
DOC011,CL0641,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,High,Neutral,0.61
DOC040,CL0516,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,Medium,Aggressive,-0.47
DOC001,CL0436,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Aggressive,0.13
DOC036,CL0360,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,High,Collaborative,0.73
DOC049,CL0674,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Neutral,-0.5
DOC041,CL0441,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Aggressive,-0.54
DOC016,CL0435,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Collaborative,0.61
DOC009,CL0677,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Neutral,-0.78
DOC007,CL0907,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Neutral,-0.96
DOC049,CL0121,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Neutral,0.85
DOC025,CL0906,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Collaborative,0.23
DOC016,CL0276,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Collaborative,0.27
DOC014,CL0027,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,-0.49
DOC028,CL0097,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,-0.4
DOC046,CL0166,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Collaborative,-0.73
DOC042,CL0033,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,0.25
DOC025,CL0739,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Collaborative,0.88
DOC001,CL0068,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,-0.69
DOC005,CL0244,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,Medium,Neutral,-0.9
DOC031,CL0974,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Aggressive,-0.02
DOC021,CL0553,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,Low,Collaborative,0.46
DOC012,CL0588,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Collaborative,0.13
DOC015,CL0390,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Collaborative,-0.07
DOC004,CL0579,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Aggressive,0.53
DOC007,CL0654,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,High,Neutral,-0.04
DOC034,CL0253,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,-0.1
DOC004,CL0315,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,Medium,Neutral,0.2
DOC012,CL0820,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Neutral,0.66
DOC002,CL0235,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Aggressive,0.93
DOC041,CL0010,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,0.47
DOC007,CL0966,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Neutral,-0.58
DOC049,CL0209,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Collaborative,0.66
DOC047,CL0578,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,0.28
DOC003,CL0587,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,0.94
DOC025,CL0258,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,0.22
DOC020,CL0463,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,High,Collaborative,-0.31
DOC006,CL0001,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Collaborative,0.04
DOC001,CL0777,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Collaborative,-0.31
DOC001,CL0700,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,-0.85
DOC006,CL0807,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Collaborative,-0.62
DOC010,CL0594,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,0.69
DOC012,CL0563,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,-0.0
DOC014,CL0203,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Low,Collaborative,0.97
DOC037,CL0652,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,Low,Collaborative,-0.46
DOC006,CL0090,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Medium,Neutral,-0.05
DOC042,CL0858,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Neutral,0.17
DOC016,CL0506,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Neutral,-0.36
DOC008,CL0990,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,-0.84
DOC016,CL0778,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Aggressive,0.5
DOC020,CL0416,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,High,Collaborative,-0.94
DOC027,CL0168,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,-0.33
DOC007,CL0901,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Collaborative,-0.24
DOC011,CL0898,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,-0.52
DOC006,CL0113,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Neutral,0.97
DOC004,CL0520,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,High,Aggressive,0.8
DOC006,CL0546,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,-0.41
DOC034,CL0187,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,High,Neutral,0.46
DOC028,CL0313,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Neutral,-0.85
DOC012,CL0347,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Neutral,0.19
DOC027,CL0437,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,0.6
DOC042,CL0443,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Collaborative,0.73
DOC043,CL0806,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Neutral,0.55
DOC027,CL0777,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Collaborative,-0.8
DOC002,CL0835,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,-0.71
DOC016,CL0309,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,Low,Collaborative,0.36
DOC009,CL0554,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Aggressive,0.89
DOC018,CL0010,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Collaborative,0.11
DOC031,CL0223,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,-0.34
DOC036,CL0549,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Collaborative,-0.09
DOC034,CL0994,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,-0.37
DOC043,CL0006,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Collaborative,-0.25
DOC030,CL0765,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,-0.98
DOC008,CL0161,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Collaborative,-0.1
DOC028,CL0281,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Collaborative,-0.14
DOC043,CL0463,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,0.32
DOC033,CL0878,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Aggressive,-0.23
DOC021,CL0280,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Collaborative,-0.97
DOC046,CL0571,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Aggressive,0.18
DOC018,CL0567,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,-0.25
DOC041,CL0029,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,-0.38
DOC029,CL0423,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,-0.95
DOC030,CL0448,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,High,Neutral,-0.12
DOC005,CL0843,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Neutral,0.98
DOC043,CL0371,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Aggressive,-0.2
DOC017,CL0620,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,0.51
DOC002,CL0603,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Aggressive,-0.98
DOC040,CL0671,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,-0.69
DOC025,CL0153,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Collaborative,0.7
DOC044,CL0191,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,High,Aggressive,0.09
DOC026,CL0518,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,0.88
DOC001,CL0241,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,-0.92
DOC038,CL0478,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,-0.56
DOC038,CL0995,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Neutral,-0.93
DOC027,CL0918,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,0.11
DOC042,CL0569,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Aggressive,0.4
DOC041,CL0372,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,-0.51
DOC025,CL0689,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,0.6
DOC032,CL0913,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Collaborative,-0.47
DOC042,CL0638,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,0.21
DOC027,CL0423,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,-0.98
DOC017,CL0278,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,High,Collaborative,-0.53
DOC004,CL0899,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Neutral,0.07
DOC042,CL0026,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,-0.07
DOC003,CL0689,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,High,Aggressive,0.12
DOC048,CL0673,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Neutral,0.43
DOC006,CL0561,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,High,Aggressive,-0.83
DOC001,CL0281,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Neutral,-0.21
DOC024,CL0009,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,-0.76
DOC041,CL0285,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Collaborative,0.93
DOC038,CL0532,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Neutral,0.09
DOC028,CL0708,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,-0.44
DOC042,CL0969,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,-0.88
DOC037,CL0238,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,0.98
DOC007,CL0363,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,-0.55
DOC049,CL0972,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Aggressive,-0.38
DOC045,CL0503,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,High,Neutral,0.56
DOC039,CL0691,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Aggressive,-0.25
DOC001,CL0305,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Neutral,-0.42
DOC045,CL0447,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,High,Aggressive,-0.84
DOC018,CL0761,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,Medium,Neutral,-0.08
DOC021,CL0784,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Medium,Aggressive,-0.62
DOC015,CL0779,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,-0.73
DOC012,CL0815,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Neutral,-0.7
DOC017,CL0921,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,Medium,Neutral,0.59
DOC050,CL0070,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,Medium,Aggressive,0.9
DOC018,CL0799,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,0.13
DOC029,CL0275,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,-0.71
DOC038,CL0299,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Aggressive,-0.11
DOC022,CL0170,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,-0.7
DOC006,CL0114,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,-0.56
DOC045,CL0324,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,High,Aggressive,0.48
DOC040,CL0474,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Aggressive,0.62
DOC043,CL0623,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,-0.61
DOC040,CL0509,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Neutral,-0.24
DOC016,CL0354,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Collaborative,0.16
DOC047,CL0726,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,-0.24
DOC027,CL0507,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Collaborative,0.85
DOC050,CL0794,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Medium,Collaborative,0.35
DOC004,CL0631,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Collaborative,0.79
DOC001,CL0235,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Collaborative,0.39
DOC028,CL0486,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,-0.2
DOC005,CL0451,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,0.05
DOC030,CL0610,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,-0.04
DOC038,CL0417,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Collaborative,-0.49
DOC045,CL0085,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Aggressive,0.01
DOC001,CL0789,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Aggressive,-0.3
DOC028,CL0065,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,-0.93
DOC013,CL0803,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,0.27
DOC039,CL0351,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Neutral,0.09
DOC044,CL0416,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Medium,Aggressive,0.36
DOC046,CL0930,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Neutral,-0.36
DOC027,CL0945,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,0.01
DOC010,CL0528,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Neutral,-0.02
DOC011,CL0633,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Aggressive,0.43
DOC008,CL0535,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Neutral,0.61
DOC040,CL0895,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Aggressive,-0.87
DOC028,CL0583,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Collaborative,-0.95
DOC032,CL0121,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,-0.73
DOC035,CL0557,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,-0.36
DOC047,CL0158,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Aggressive,0.5
DOC043,CL0794,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Medium,Collaborative,-0.98
DOC003,CL0348,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,High,Neutral,-0.07
DOC042,CL0480,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Collaborative,0.11
DOC018,CL0500,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Neutral,0.9
DOC029,CL0687,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,0.84
DOC010,CL0896,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,-0.71
DOC016,CL0228,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Collaborative,0.2
DOC019,CL0429,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Neutral,0.39
DOC016,CL0932,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Aggressive,-0.88
DOC027,CL0312,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Neutral,-0.92
DOC030,CL0877,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,-0.72
DOC012,CL0575,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Aggressive,0.22
DOC049,CL0120,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,-0.57
DOC015,CL0481,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,-0.12
DOC020,CL0498,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Collaborative,-0.46
DOC008,CL0846,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Aggressive,-0.83
DOC016,CL0095,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Collaborative,-0.08
DOC050,CL0131,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Aggressive,0.64
DOC022,CL0716,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Aggressive,-0.65
DOC049,CL0720,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Collaborative,0.77
DOC031,CL0367,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,-0.42
DOC020,CL0851,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Aggressive,-0.25
DOC039,CL0360,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Aggressive,-0.41
DOC003,CL0694,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,0.16
DOC012,CL0735,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,-0.96
DOC011,CL0746,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Neutral,0.45
DOC027,CL0382,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Collaborative,-0.08
DOC040,CL0961,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Collaborative,-0.6
DOC013,CL0688,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,-0.83
DOC041,CL0213,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Neutral,0.82
DOC019,CL0823,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Medium,Collaborative,-0.78
DOC028,CL0844,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Aggressive,-0.69
DOC001,CL0236,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Collaborative,-0.12
DOC038,CL0250,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,0.24
DOC010,CL0245,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Neutral,-0.91
DOC024,CL0749,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Aggressive,-0.07
DOC040,CL0878,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Collaborative,-0.27
DOC048,CL0433,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Collaborative,0.51
DOC049,CL0084,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Collaborative,0.59
DOC030,CL0094,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,-0.35
DOC024,CL0761,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Neutral,-0.76
DOC017,CL0242,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Aggressive,-0.79
DOC003,CL0027,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Collaborative,-1.0
DOC015,CL0843,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,-0.09
DOC029,CL0634,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Collaborative,0.02
DOC002,CL0984,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,0.56
DOC021,CL0803,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Aggressive,-0.45
DOC033,CL0945,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Aggressive,0.79
DOC016,CL0742,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Collaborative,-0.47
DOC035,CL0398,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Aggressive,-0.91
DOC049,CL0763,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Aggressive,-0.95
DOC021,CL0018,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Neutral,0.32
DOC027,CL0024,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Aggressive,0.21
DOC010,CL0810,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Medium,Aggressive,0.23
DOC001,CL0380,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Aggressive,0.49
DOC011,CL0436,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Low,Neutral,-0.99
DOC003,CL0777,The liability of the service provider is limited to the amount paid under this agreement.,Liability,High,Collaborative,0.98
DOC026,CL1000,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Neutral,0.96
DOC046,CL0952,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,Low,Aggressive,-0.16
DOC010,CL0753,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Aggressive,-0.25
DOC006,CL0843,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,Medium,Neutral,-0.67
DOC010,CL0606,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,-0.84
DOC050,CL0724,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,-0.3
DOC036,CL0342,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Aggressive,-0.12
DOC029,CL0415,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,High,Aggressive,0.88
DOC005,CL0375,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,0.34
DOC033,CL0956,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Neutral,-0.69
DOC043,CL0850,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Collaborative,-0.5
DOC014,CL0124,This agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,High,Neutral,-0.71
DOC046,CL0377,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Medium,Collaborative,-0.8
DOC025,CL0923,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Neutral,0.82
DOC024,CL0024,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Neutral,-0.27
DOC005,CL0667,This agreement shall be governed by and construed in accordance with the laws of France.,Governing Law,High,Neutral,-0.19
DOC017,CL0129,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Collaborative,0.02
DOC003,CL0571,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Neutral,-0.81
DOC020,CL0120,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Low,Aggressive,0.03
DOC034,CL0777,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Aggressive,0.22
DOC038,CL0736,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,High,Aggressive,-0.35
DOC013,CL0840,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Collaborative,0.09
DOC028,CL0628,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Collaborative,0.07
DOC026,CL0818,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,-0.14
DOC042,CL0998,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Medium,Collaborative,-0.6
DOC048,CL0157,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Collaborative,-0.86
DOC009,CL0545,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,-0.94
DOC009,CL0568,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Neutral,0.41
DOC047,CL0035,Either party may terminate this agreement by providing 60 days written notice.,Termination,Low,Neutral,-0.63
DOC028,CL0691,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Aggressive,0.95
DOC030,CL0881,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,0.61
DOC024,CL0032,Either party may terminate this agreement by providing 60 days written notice.,Termination,Medium,Aggressive,0.07
DOC026,CL0693,Neither party shall be liable for delays caused by force majeure events.,Force Majeure,Low,Neutral,0.76
DOC011,CL0969,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,Low,Neutral,0.04
DOC030,CL0694,This agreement shall be governed by and construed in accordance with the laws of USA.,Governing Law,High,Collaborative,0.48
DOC030,CL0585,Either party may terminate this agreement by providing 60 days written notice.,Termination,High,Collaborative,-0.8
DOC008,CL0145,The payment shall be made within 30 days from the date of invoice.,Payment Terms,High,Collaborative,-0.88
DOC002,CL0983,This agreement shall be governed by and construed in accordance with the laws of Spain.,Governing Law,Medium,Aggressive,0.91
DOC007,CL0574,The parties agree to maintain strict confidentiality of all disclosed information.,Confidentiality,High,Neutral,0.21
DOC023,CL0713,The payment shall be made within 30 days from the date of invoice.,Payment Terms,Medium,Neutral,-0.8
DOC005,CL0360,The liability of the service provider is limited to the amount paid under this agreement.,Liability,Medium,Aggressive,0.38
